,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
99,Atuona,3,PF,1572136904,65,-9.8,-139.03,79.23,2.53
100,Pevek,0,RU,1572137041,69,69.7,170.27,8.51,12.41
101,Marshall,1,US,1572137319,87,32.54,-94.37,57.2,4.5
102,Natal,75,BR,1572137061,88,-5.81,-35.21,78.8,8.05
103,Ancud,75,CL,1572137149,87,-41.87,-73.83,44.6,8.05
104,Constitucion,75,MX,1572136735,35,23.99,-104.67,69.8,12.75
105,Pangnirtung,100,CA,1572136895,99,66.15,-65.72,32.81,6.46
106,Kodiak,90,US,1572136835,76,39.95,-94.76,51.01,5.61
107,Hovd,92,NO,1572137326,86,63.83,10.7,44.01,9.17
108,Henties Bay,22,NA,1572137327,96,-22.12,14.28,57.0,5.01
109,Punta Arenas,75,CL,1572136939,71,-53.16,-70.91,42.8,18.34
110,Nizwa,0,OM,1572137330,38,22.93,57.53,73.02,2.48
111,Shu,0,KZ,1572137331,44,43.6,73.76,45.77,2.17
112,Siniscola,95,IT,1572137332,100,40.57,9.69,57.2,3.36
113,Puerto Ayora,75,EC,1572136855,69,-0.74,-90.35,73.4,11.41
114,The Valley,20,AI,1572137334,74,18.22,-63.06,82.4,6.93
115,Upernavik,75,GL,1572137037,63,72.79,-56.15,26.46,8.84
116,Butaritari,100,KI,1572136943,74,3.07,172.79,84.22,8.66
117,Luderitz,0,NA,1572137337,93,-26.65,15.16,57.2,1.12
118,Bocas del Toro,62,PA,1572137339,100,9.33,-82.25,66.99,8.21
119,Port Elizabeth,1,US,1572136974,76,39.31,-74.98,61.0,8.05
120,Port Alfred,96,ZA,1572136863,94,-33.59,26.89,64.99,1.99
121,Victoria,75,BN,1572137039,78,5.28,115.24,82.4,3.36
122,Tingi,30,TZ,1572137343,60,-11.3,35.03,71.58,9.73
123,Santos Dumont,45,BR,1572137344,97,-21.46,-43.55,65.3,3.49
124,Palmeira,36,BR,1572137345,94,-25.43,-50.0,64.09,7.96
125,Mecca,0,SA,1572137102,61,21.43,39.83,77.23,2.33
126,Kieta,90,PG,1572137348,66,-6.22,155.63,84.34,5.95
127,Labuhan,75,ID,1572137349,82,-2.54,115.51,79.12,1.14
128,Alta Floresta,97,BR,1572137350,80,-9.87,-56.08,74.16,5.46
129,Los Llanos de Aridane,75,ES,1572137154,78,28.66,-17.92,73.4,1.12
130,Mount Gambier,90,AU,1572136859,87,-37.83,140.78,57.2,11.41
131,Lagdo,100,CM,1572137354,94,9.06,13.67,72.57,2.91
132,Nieuw Nickerie,100,SR,1572137355,79,5.94,-56.99,81.88,11.95
133,Dzhebariki-Khaya,4,RU,1572137356,88,62.22,135.8,11.12,1.23
134,Mathbaria,45,BD,1572137357,94,22.29,89.96,71.13,4.83
135,Kisangani,100,CD,1572137098,99,0.52,25.21,68.04,1.52
136,Sinnamary,0,GF,1572137359,75,5.38,-52.96,82.76,14.83
137,Cidreira,15,BR,1572137057,90,-30.17,-50.22,69.57,29.01
138,Aransas Pass,1,US,1572137362,49,27.91,-97.15,69.8,3.36
139,Arraial do Cabo,5,BR,1572137016,90,-22.97,-42.02,73.83,19.04
140,Dawlatabad,73,AF,1572137364,76,36.41,64.91,50.81,2.42
141,Katsuura,75,JP,1572137365,82,33.93,134.5,66.0,6.93
142,Hasaki,75,JP,1572137156,88,35.73,140.83,70.0,4.7
143,Chinsali,53,ZM,1572137368,48,-10.55,32.07,66.9,3.78
144,Klichka,50,RU,1572137370,85,50.44,118.0,23.74,5.08
145,College,90,US,1572137061,70,64.86,-147.8,35.6,4.7
146,Hithadhoo,99,MV,1572136992,76,-0.6,73.08,82.0,12.71
147,Sur,7,OM,1572137373,39,22.57,59.53,75.36,1.1
148,Hualmay,16,PE,1572137374,85,-11.1,-77.61,59.49,4.09
149,Iqaluit,90,CA,1572137375,79,63.75,-68.52,32.0,8.05
150,Igrim,41,RU,1572137376,89,63.19,64.42,37.44,12.53
151,Lata,0,IN,1572136999,25,30.78,78.62,26.2,3.49
152,Khani,40,GE,1572137379,100,41.96,42.96,53.6,2.24
153,Ust-Ilimsk,42,RU,1572137380,93,57.96,102.73,14.65,3.85
154,Yining,89,CN,1572137381,90,29.04,114.56,54.81,0.69
155,Berlevag,100,NO,1572137029,57,70.86,29.09,32.32,8.7
156,Jining,100,CN,1572137325,22,35.41,116.58,55.99,8.57
157,Susaki,75,JP,1572137384,68,33.42,133.28,66.2,5.82
158,Kawalu,70,ID,1572137385,79,-7.38,108.21,72.77,2.98
159,Sambava,1,MG,1572137387,96,-14.27,50.17,66.94,2.48
160,Kruisfontein,60,ZA,1572137388,88,-34.0,24.73,57.97,3.89
161,Elizabeth City,75,US,1572137389,94,36.3,-76.22,68.0,3.36
162,Sola,19,TZ,1572137390,57,-3.17,33.8,69.78,5.88
163,Aklavik,20,CA,1572137058,85,68.22,-135.01,19.4,3.36
164,Bandarbeyla,41,SO,1572137392,63,9.49,50.81,79.27,4.12
165,Hadejia,55,NG,1572137394,57,12.45,10.04,82.29,3.02
166,Fairbanks,90,US,1572137345,71,64.84,-147.72,34.0,4.7
167,Waingapu,82,ID,1572137396,77,-9.65,120.26,79.41,5.68
168,Longyearbyen,40,NO,1572137397,68,78.22,15.63,24.8,19.46
169,Qaqortoq,100,GL,1572137398,54,60.72,-46.03,30.2,2.24
170,North Bend,1,US,1572137399,76,43.41,-124.22,55.0,21.92
171,Sayville,75,US,1572137400,58,40.74,-73.08,60.01,3.36
172,Chokurdakh,100,RU,1572136972,87,70.62,147.9,-5.61,2.01
173,Severo-Kurilsk,100,RU,1572137403,88,50.68,156.12,35.58,19.3
174,Lichinga,0,MZ,1572137404,48,-13.3,35.25,70.97,3.47
175,Kavieng,43,PG,1572137056,67,-2.57,150.8,83.79,4.34
176,Ursulo Galvan,75,MX,1572137406,56,20.6,-97.44,73.4,9.17
177,Salinas,31,US,1572137407,33,36.67,-121.66,82.99,16.11
178,Hami,16,CN,1572137408,33,42.84,93.51,36.86,3.53
179,Jonkoping,100,SE,1572137410,100,57.78,14.16,45.0,4.7
180,Haftoni,75,AZ,1572137411,100,38.76,48.76,46.4,6.93
181,Cabo San Lucas,20,MX,1572137402,74,22.89,-109.91,82.4,9.17
182,Rio Branco,80,BR,1572137413,94,-9.98,-67.82,77.0,2.24
183,Laguna,75,BZ,1572136931,83,16.17,-88.94,82.4,4.7
184,Koygorodok,74,RU,1572137416,78,60.44,51.01,37.78,10.54
185,Skala,0,GR,1572137417,66,36.85,22.66,66.0,4.7
186,Okhotsk,100,RU,1572137418,91,59.36,143.24,30.51,14.94
187,Praia,34,BR,1572137419,72,-20.25,-43.81,68.0,4.97
188,Cayenne,20,GF,1572137420,88,4.94,-52.33,77.0,5.1
189,Evensk,100,RU,1572137421,96,61.92,159.24,26.11,2.01
190,Lorengau,89,PG,1572137422,78,-2.02,147.27,81.36,3.51
191,Harper,1,US,1572137423,47,30.3,-99.24,64.0,6.58
192,Povenets,95,RU,1572137425,93,62.85,34.83,35.1,4.54
193,Beloha,48,MG,1572137426,81,-25.17,45.06,72.01,10.25
194,Fortuna,1,US,1572137147,58,40.6,-124.16,57.99,24.16
195,Leshan,100,CN,1572137428,86,29.56,103.76,54.27,2.89
196,Norman Wells,75,CA,1572137051,92,65.28,-126.83,26.6,4.7
197,Kavaratti,100,IN,1572137430,77,10.57,72.64,82.53,16.04
198,Nikolayevka,0,RU,1572137431,66,46.73,38.57,55.18,2.46
199,Sisimiut,40,GL,1572137186,66,66.94,-53.67,27.91,6.11
200,San Antonio,90,CL,1572137434,87,-33.58,-71.61,57.2,5.82
201,Babstovo,0,RU,1572137435,52,48.12,132.48,35.8,7.18
202,Oskarshamn,100,SE,1572137436,87,57.26,16.44,57.2,9.17
203,Geraldton,40,CA,1572136984,56,49.72,-86.95,44.6,13.87
204,Rundu,42,NA,1572137438,22,-17.91,19.77,78.8,1.12
205,Lakes Entrance,1,AU,1572137439,44,-37.88,147.99,64.0,1.99
206,Talnakh,75,RU,1572137440,92,69.49,88.39,17.6,15.66
207,Hilo,90,US,1572137027,62,19.71,-155.08,84.2,8.05
208,Abha,69,SA,1572137443,76,18.22,42.5,60.8,1.05
209,Tocopilla,0,CL,1572137135,39,-22.09,-70.2,57.58,3.89
210,Meridian,1,US,1572137445,45,43.61,-116.39,46.4,16.11
211,Viseu,89,PT,1572137184,92,40.66,-7.91,60.01,4.16
212,Cockburn Town,2,TC,1572137144,78,21.46,-71.14,83.05,17.22
213,Lac du Bonnet,89,CA,1572137448,77,50.25,-96.06,39.99,8.01
214,Apac,50,UG,1572137450,96,1.98,32.53,64.98,2.1
215,Barra Patuca,0,HN,1572137451,76,15.8,-84.28,83.55,16.02
216,Tucumcari,1,US,1572137452,29,35.17,-103.73,66.2,6.93
217,Koson,20,UZ,1572137453,41,39.04,65.59,57.2,4.7
218,Ginir,45,ET,1572137454,89,7.14,40.71,55.76,5.53
219,Reconquista,29,AR,1572137455,78,-29.14,-59.64,73.06,9.26
220,Hay River,75,CA,1572137457,54,60.82,-115.79,28.4,4.7
221,San Quintin,82,PH,1572137458,73,17.54,120.52,78.04,4.7
222,Provideniya,100,RU,1572137459,97,64.42,-173.23,30.07,19.62
223,Ntchisi,25,MW,1572137460,53,-13.36,33.92,69.08,3.31
224,Lavrentiya,100,RU,1572137461,97,65.58,-170.99,32.68,33.17
225,Gwadar,0,PK,1572137462,61,25.12,62.33,83.17,4.43
226,Trat,40,TH,1572137463,88,12.25,102.51,84.99,3.36
227,Puerto El Triunfo,75,SV,1572137465,83,13.27,-88.55,80.6,3.36
228,Burnie,80,AU,1572137466,67,-41.05,145.91,57.99,10.0
229,Half Moon Bay,1,US,1572137467,76,37.46,-122.43,84.2,10.29
230,Mazagao,40,BR,1572137189,83,-0.12,-51.29,84.2,10.29
231,Havre-Saint-Pierre,90,CA,1572137469,56,50.23,-63.6,32.0,5.82
232,Mount Isa,40,AU,1572137072,12,-20.73,139.49,86.0,17.22
233,Itarema,89,BR,1572137471,70,-2.92,-39.92,78.51,11.25
234,Sobolevo,100,RU,1572137473,87,54.43,31.9,50.23,13.2
235,Dunedin,100,NZ,1572137474,51,-45.87,170.5,62.64,16.55
236,Yulara,100,AU,1572137158,20,-25.24,130.99,77.0,17.22
237,Westport,1,US,1572137269,50,41.14,-73.36,59.0,5.82
238,Gambela,11,ET,1572137477,93,8.25,34.59,69.78,2.84
239,Broome,100,GB,1572137478,93,52.47,1.45,44.01,8.05
240,Mayahi,83,NE,1572137479,36,13.95,7.67,86.4,6.98
241,Broken Hill,0,AU,1572137481,38,-31.97,141.45,60.8,8.05
242,Humberto de Campos,69,BR,1572137482,82,-2.6,-43.46,78.73,8.23
243,Koutsouras,0,GR,1572137483,60,35.03,25.95,70.0,10.0
244,Nichinan,75,JP,1572137484,63,31.65,131.31,66.2,10.29
245,Nanning,90,CN,1572137485,82,22.83,108.3,68.0,2.24
246,Griffith,0,AU,1572137486,33,-34.29,146.06,64.99,8.05
247,Lishan,100,CN,1572137487,98,24.07,102.75,58.66,3.6
248,Phan Thiet,61,VN,1572137489,80,10.93,108.1,75.45,2.26
249,Tuscaloosa,75,US,1572137418,77,33.21,-87.57,69.01,8.05
250,Guerrero Negro,0,MX,1572136926,21,27.97,-114.04,78.98,12.44
251,Majene,100,ID,1572137492,78,-3.54,118.97,80.55,5.44
252,Mana,86,NG,1572137493,63,13.03,5.27,81.1,8.88
253,Tuatapere,100,NZ,1572137494,89,-46.13,167.69,55.99,1.99
254,Fare,21,PF,1572137495,68,-16.7,-151.02,79.95,8.1
255,Huaral,90,PE,1572137496,77,-11.5,-77.21,62.6,10.29
256,Megion,90,RU,1572137498,93,61.04,76.11,35.6,13.42
257,Nampula,0,MZ,1572137499,93,-15.12,39.26,69.48,3.27
258,Naze,100,NG,1572137500,94,5.43,7.07,74.95,2.08
259,Nishihara,75,JP,1572137501,68,35.74,139.53,69.01,3.36
260,Lamu,77,CN,1572137502,57,35.77,102.37,30.9,1.39
261,Hofn,50,IS,1572137504,56,64.25,-15.21,36.19,9.24
262,Impfondo,76,CD,1572137116,98,1.62,18.06,71.35,0.11
263,Beyneu,0,KZ,1572137506,63,45.32,55.19,49.86,7.9
264,Namatanai,98,PG,1572136964,66,-3.66,152.44,83.93,2.48
265,Muros,75,ES,1572137508,77,42.77,-9.06,66.99,5.82
266,Saint-Pierre,87,FR,1572137509,87,48.95,4.24,57.99,10.29
267,Tekeli,0,KZ,1572137511,27,44.86,78.76,32.67,6.6
268,Tiarei,20,PF,1572137512,58,-17.53,-149.33,86.0,13.87
269,Trapani,69,IT,1572137513,88,38.02,12.54,68.0,3.36
270,Isangel,40,VU,1572137026,54,-19.55,169.27,82.4,11.41
271,Aripuana,73,BR,1572137515,63,-9.17,-60.63,80.73,2.28
272,Clearlake,1,US,1572137516,31,38.96,-122.63,82.99,5.82
273,Taga,58,ID,1572137517,45,-8.61,120.44,81.91,0.6
274,Masvingo,16,ZW,1572137519,28,-20.08,30.83,78.19,12.39
275,Homer,90,US,1572137520,57,59.64,-151.54,50.0,3.36
276,Samarai,26,PG,1572137521,77,-10.62,150.67,80.56,7.16
277,Honiara,90,SB,1572137522,62,-9.43,159.96,87.8,8.05
278,Narsaq,98,GL,1572136985,54,60.91,-46.05,30.2,2.24
279,Port Keats,61,AU,1572137525,57,-14.25,129.55,84.99,9.35
280,General Roca,0,AR,1572137526,34,-39.03,-67.58,66.2,12.75
281,Luanda,75,AO,1572137527,83,-8.83,13.24,77.0,4.7
282,Kyshtovka,100,RU,1572136940,92,56.56,76.62,40.53,18.81
283,Bambous Virieux,40,MU,1572137043,88,-20.34,57.76,71.01,7.45
284,Channel-Port aux Basques,33,CA,1572137530,68,47.57,-59.14,41.2,16.58
285,Caravelas,89,BR,1572137532,89,-17.73,-39.27,72.39,6.24
286,Sayyan,37,YE,1572137533,39,15.17,44.32,54.28,1.36
287,Yangambi,98,CD,1572137534,98,0.77,24.47,69.22,1.68
288,Wanxian,100,CN,1572137535,93,30.8,108.39,53.1,1.54
289,Kushima,75,JP,1572137536,63,31.5,131.29,66.2,10.29
290,Vilhena,64,BR,1572137537,67,-12.74,-60.15,74.08,1.01
291,Tirano,0,IT,1572137538,61,46.22,10.17,57.0,1.01
292,Ixtapa,75,MX,1572137161,79,20.71,-105.21,84.2,8.05
293,Ornskoldsvik,86,SE,1572137541,83,63.29,18.72,32.0,1.43
294,Sumbe,100,AO,1572137542,85,-11.2,13.84,76.24,3.44
295,Bathsheba,20,BB,1572136956,78,13.22,-59.52,80.6,9.17
296,Trinidad,54,BO,1572137544,56,-14.83,-64.9,85.62,5.46
297,Huarmey,5,PE,1572137545,80,-10.07,-78.15,61.43,3.22
298,Neftcala,17,AZ,1572137546,56,39.37,49.25,67.3,5.57
299,Corinth,0,GR,1572137470,42,37.94,22.93,68.0,4.7
300,Port Hope,90,CA,1572137549,75,43.95,-78.29,48.2,5.82
301,Pacific Grove,1,US,1572137550,67,36.62,-121.92,82.99,6.93
302,Georgetown,20,GY,1572137544,83,6.8,-58.16,82.4,9.17
303,Shetpe,0,KZ,1572137552,32,44.14,52.16,52.77,6.93
304,Coos Bay,1,US,1572137553,76,43.37,-124.22,55.0,21.92
305,Kon Tum,0,VN,1572137554,84,14.36,108.0,70.77,2.19
306,Bilma,51,NE,1572137555,21,18.69,12.92,78.1,7.09
307,Shelburne,1,CA,1572137557,65,44.08,-80.2,46.99,4.7
308,Greensburg,90,US,1572137558,93,30.83,-90.67,60.01,3.29
309,Tevaitoa,5,PF,1572137559,66,-16.78,-151.5,79.65,6.08
310,Bar Harbor,1,US,1572137432,70,44.39,-68.2,46.0,6.98
311,Kayerkan,75,RU,1572137561,92,69.35,87.76,17.6,15.66
312,Hammerfest,47,NO,1572137562,79,70.66,23.68,26.6,11.41
313,Tshikapa,96,CD,1572137563,97,-6.42,20.79,69.91,2.93
314,Clyde River,90,CA,1572137049,100,70.47,-68.59,28.4,12.75
315,Boa Vista,66,BR,1572137566,58,2.82,-60.67,86.0,5.99
316,Mandalgovi,27,MN,1572137567,43,45.76,106.27,32.47,17.54
317,Poya,0,NC,1572137568,73,-21.35,165.16,70.79,15.79
318,Nuuk,98,GL,1572137569,73,64.17,-51.74,32.0,3.36
319,Puerto Ayacucho,63,CO,1572137570,89,5.66,-67.63,75.78,2.64
320,Lingao,95,CN,1572137571,80,19.91,109.69,78.01,15.52
321,Algete,0,ES,1572137573,93,40.6,-3.5,61.0,4.7
322,Te Anau,100,NZ,1572137574,92,-45.41,167.72,45.79,7.52
323,Saint-Louis,0,SN,1572137575,88,16.03,-16.5,80.6,4.7
324,Touros,75,BR,1572137134,83,-5.2,-35.46,77.0,9.17
325,Aksarka,100,RU,1572137577,92,66.56,67.8,19.78,14.97
326,Wadi Musa,100,JO,1572137578,70,30.32,35.48,59.79,6.89
327,Namwala,35,ZM,1572137579,30,-15.75,26.45,73.09,3.67
328,Port Augusta,23,AU,1572137581,51,-32.49,137.76,63.0,10.29
329,Kargil,23,PK,1572137582,48,34.56,76.13,26.83,1.5
330,Arica,30,CL,1572137583,67,-18.48,-70.32,62.6,2.24
331,Mitsamiouli,0,KM,1572137584,78,-11.38,43.28,78.91,4.76
332,Celestun,100,MX,1572137585,84,20.87,-90.4,79.59,23.44
333,Key Largo,75,US,1572137010,88,25.09,-80.45,82.99,7.94
334,Komsomolskiy,95,RU,1572137587,84,67.55,63.78,12.22,10.89
335,Baneh,77,IR,1572137588,100,35.99,45.88,51.8,2.24
336,Port Jervis,75,US,1572137590,58,41.38,-74.69,55.99,4.68
337,Nezhinka,4,RU,1572137591,60,51.77,55.37,42.8,6.71
338,Pasighat,100,IN,1572137592,96,28.06,95.33,67.89,0.38
339,La Orilla,66,MX,1572137596,84,18.0,-102.23,79.21,1.63
340,Totness,90,US,1572137597,100,33.74,-80.8,73.99,4.7
341,Santa Lucia,1,IT,1572137598,77,41.98,12.66,66.99,6.93
342,Xiongyue,2,CN,1572137599,63,40.18,122.12,54.64,9.04
343,San Rafael,0,AR,1572137601,23,-34.61,-68.33,68.22,7.43
344,Atambua,37,ID,1572137602,49,-9.11,124.89,84.02,4.23
345,Sukhobezvodnoye,100,RU,1572137603,86,57.05,44.89,46.96,13.58
346,Nador,0,MA,1572137604,82,35.17,-2.93,64.4,1.54
347,Polunochnoye,77,RU,1572137605,87,60.87,60.43,37.54,6.33
348,Ishigaki,20,JP,1572137606,69,24.34,124.16,78.8,9.17
349,Sao Joao da Barra,67,BR,1572137607,90,-21.64,-41.05,75.67,11.39
350,Alyangula,100,AU,1572137608,55,-13.85,136.42,87.8,8.05
351,Kita,75,JP,1572137610,68,35.76,139.74,69.01,3.36
352,Soteapan,90,MX,1572137611,65,18.23,-94.87,77.0,11.41
353,Arroyo,100,BO,1572137612,91,-11.08,-66.08,75.06,2.15
354,Acajutla,40,SV,1572137613,69,13.59,-89.83,80.6,4.85
355,Seoul,75,KR,1572137614,100,37.57,126.98,50.0,2.24
356,Rawson,94,AR,1572137615,38,-43.3,-65.11,61.57,14.27
357,Wufeng,100,CN,1572137616,97,27.44,104.87,42.89,4.38
358,Buchanan,40,LR,1572137617,94,5.88,-10.05,75.2,3.4
359,Portland,1,US,1572137402,81,43.66,-70.25,46.99,5.46
360,Watsa,93,CD,1572137620,98,3.04,29.53,64.71,1.34
361,Buraydah,75,SA,1572137621,100,26.33,43.97,71.6,8.05
362,Leningradskiy,0,RU,1572137622,61,69.38,178.42,16.59,11.27
363,Espanola,84,CA,1572137623,88,46.27,-81.77,46.99,1.99
364,Egvekinot,0,RU,1572137624,74,66.32,-179.17,8.67,10.2
365,Zeerust,0,ZA,1572137626,21,-25.54,26.07,69.8,5.82
366,Bereda,100,ES,1572137627,68,43.27,-7.54,70.0,10.29
367,North Platte,1,US,1572137628,50,41.12,-100.77,51.8,17.22
368,Nemuro,75,JP,1572137070,93,43.32,145.57,53.6,6.93
369,Pisco,75,PE,1572137097,30,-13.71,-76.2,71.6,16.11
370,Susanville,1,US,1572137631,20,40.42,-120.65,62.6,6.93
371,Manicore,90,BR,1572137632,66,-5.81,-61.3,81.3,2.64
372,Batamshinskiy,0,KZ,1572137633,60,50.56,58.27,41.0,4.47
373,Srednekolymsk,66,RU,1572137635,91,67.46,153.71,-3.39,4.5
374,Mayo,75,CA,1572137636,92,63.59,-135.9,21.2,1.34
